episode_id,seat,policy_tag,win,opening_shape
88,3,flexaggrod,0,4.09
89,0,flexaggrod,1,3.0900000000000003
89,1,flexaggrod,0,4.09
89,2,flexaggrod,0,2.7390000000000003
89,3,flexaggrod,0,1.7690000000000001
90,0,flexaggrod,1,2.769
90,1,flexaggrod,0,4.06
90,2,flexaggrod,0,4.06
90,3,flexaggrod,0,4.09
91,0,flexaggrod,1,3.254
91,1,flexaggrod,0,3.769
91,2,flexaggrod,0,2.284
91,3,flexaggrod,0,3.254
92,0,flexaggrod,0,3.0900000000000003
92,1,flexaggrod,1,2.284
92,2,flexaggrod,0,3.0900000000000003
92,3,flexaggrod,0,1.739
93,0,flexaggrod,1,2.7990000000000004
93,1,flexaggrod,0,2.254
93,2,flexaggrod,0,3.254
93,3,flexaggrod,0,3.254
94,0,flexaggrod,1,3.254
94,1,flexaggrod,0,3.254
94,2,flexaggrod,0,3.254
94,3,flexaggrod,0,4.09
95,0,flexaggrod,0,4.09
95,1,flexaggrod,0,2.7990000000000004
95,2,flexaggrod,0,2.769
95,3,flexaggrod,1,2.7990000000000004
96,0,flexaggrod,0,3.254
96,1,flexaggrod,0,2.7390000000000003
96,2,flexaggrod,1,2.254
96,3,flexaggrod,0,5.06
97,0,flexaggrod,1,2.254
97,1,flexaggrod,0,3.254
97,2,flexaggrod,0,2.7990000000000004
97,3,flexaggrod,0,4.09
98,0,flexaggrod,0,3.254
98,1,flexaggrod,0,5.06
98,2,flexaggrod,0,2.7990000000000004
98,3,flexaggrod,1,3.769
99,0,flexaggrod,0,3.254
99,1,flexaggrod,0,2.284
99,2,flexaggrod,0,3.06
99,3,flexaggrod,1,4.06
100,0,flexaggrod,0,2.7990000000000004
100,1,flexaggrod,1,2.7390000000000003
100,2,flexaggrod,0,1.799
100,3,flexaggrod,0,3.769
101,0,flexaggrod,0,2.7390000000000003
101,1,flexaggrod,0,3.769
101,2,flexaggrod,1,2.2239999999999998
101,3,flexaggrod,0,2.7990000000000004
102,0,flexaggrod,0,3.769
102,1,flexaggrod,0,2.7990000000000004
102,2,flexaggrod,0,5.06
102,3,flexaggrod,1,3.254
103,0,flexaggrod,1,2.254
103,1,flexaggrod,0,2.769
103,2,flexaggrod,0,2.2239999999999998
103,3,flexaggrod,0,2.7990000000000004
104,0,flexaggrod,0,4.06
104,1,flexaggrod,0,2.7390000000000003
104,2,flexaggrod,1,2.769
104,3,flexaggrod,0,2.7990000000000004
105,0,flexaggrod,0,1.829
105,1,flexaggrod,1,3.254
105,2,flexaggrod,0,3.769
105,3,flexaggrod,0,1.829
106,0,flexaggrod,0,2.7990000000000004
106,1,flexaggrod,0,2.769
106,2,flexaggrod,0,3.769
106,3,flexaggrod,0,5.06
107,0,flexaggrod,0,2.7990000000000004
107,1,flexaggrod,1,3.254
107,2,flexaggrod,0,3.769
107,3,flexaggrod,0,3.769
108,0,flexaggrod,0,2.254
108,1,flexaggrod,1,1.829
108,2,flexaggrod,0,2.769
108,3,flexaggrod,0,4.09
109,0,flexaggrod,0,5.06
109,1,flexaggrod,0,2.7990000000000004
109,2,flexaggrod,0,2.7390000000000003
109,3,flexaggrod,1,2.7990000000000004
110,0,flexaggrod,1,3.254
110,1,flexaggrod,0,3.0900000000000003
110,2,flexaggrod,0,3.254
110,3,flexaggrod,0,3.12
111,0,flexaggrod,0,5.06
111,1,flexaggrod,1,3.254
111,2,flexaggrod,0,3.254
111,3,flexaggrod,0,5.06
112,0,flexaggrod,1,2.2239999999999998
112,1,flexaggrod,0,2.254
112,2,flexaggrod,0,3.12
112,3,flexaggrod,0,2.254
113,0,flexaggrod,1,2.254
113,1,flexaggrod,0,2.7390000000000003
113,2,flexaggrod,0,1.799
113,3,flexaggrod,0,2.769
114,0,flexaggrod,0,1.829
114,1,flexaggrod,1,3.254
114,2,flexaggrod,0,3.769
114,3,flexaggrod,0,5.06
115,0,flexaggrod,0,2.7390000000000003
115,1,flexaggrod,0,2.7990000000000004
115,2,flexaggrod,0,2.7990000000000004
115,3,flexaggrod,1,3.254
116,0,flexaggrod,0,2.7990000000000004
116,1,flexaggrod,1,4.06
116,2,flexaggrod,0,3.254
116,3,flexaggrod,0,3.254
117,0,flexaggrod,0,2.284
117,1,flexaggrod,0,4.06
117,2,flexaggrod,1,2.284
117,3,flexaggrod,0,3.769
118,0,flexaggrod,0,2.7390000000000003
118,1,flexaggrod,0,2.284
118,2,flexaggrod,1,3.254
