episode_id,policy_tag,win,opening_shape,points,reward
78,flexaggrod,0,2.7390000000000003,0.0,-0.6875
79,flexaggrod,1,2.7390000000000003,0.0,1.25
79,flexaggrod,0,3.254,0.0,0.0
79,flexaggrod,0,4.09,0.0,-2.8125
79,flexaggrod,1,1.3139999999999998,0.0,1.5625
80,flexaggrod,1,3.254,0.0,1.5
80,flexaggrod,0,2.769,0.0,0.0
80,flexaggrod,1,4.09,0.0,1.3125
80,flexaggrod,0,2.769,0.0,-2.8125
81,flexaggrod,0,3.769,0.0,0.0
81,flexaggrod,1,2.2239999999999998,0.0,1.5
81,flexaggrod,0,4.09,0.0,0.0
81,flexaggrod,0,5.06,0.0,-1.5
82,flexaggrod,1,4.06,0.0,1.4375
82,flexaggrod,0,2.7990000000000004,0.0,-1.4375
82,flexaggrod,0,2.7990000000000004,0.0,0.0
82,flexaggrod,0,5.06,0.0,0.0
83,flexaggrod,0,1.799,0.0,-2.625
83,flexaggrod,0,2.7390000000000003,0.0,0.0
83,flexaggrod,0,2.7990000000000004,0.0,0.0
83,flexaggrod,1,2.7390000000000003,0.0,2.625
84,flexaggrod,1,3.769,0.0,1.375
84,flexaggrod,0,1.799,0.0,-1.375
84,flexaggrod,0,3.0900000000000003,0.0,0.0
84,flexaggrod,0,4.06,0.0,0.0
85,flexaggrod,0,3.769,0.0,-1.4375
85,flexaggrod,0,5.06,0.0,-1.4375
85,flexaggrod,1,3.254,0.0,4.3125
85,flexaggrod,0,2.769,0.0,-1.4375
86,flexaggrod,0,3.254,0.0,-1.4375
86,flexaggrod,0,2.769,0.0,0.0
86,flexaggrod,0,3.254,0.0,0.0
86,flexaggrod,1,2.769,0.0,1.4375
87,flexaggrod,0,2.254,0.0,0.0
87,flexaggrod,1,2.7990000000000004,0.0,1.4375
87,flexaggrod,0,3.769,0.0,0.0
87,flexaggrod,0,2.2239999999999998,0.0,-1.4375
88,flexaggrod,0,3.0900000000000003,0.0,0.0
88,flexaggrod,0,4.06,0.0,0.0
88,flexaggrod,0,3.769,0.0,0.0
88,flexaggrod,0,5.06,0.0,0.0
89,flexaggrod,0,2.284,0.0,-1.375
89,flexaggrod,1,3.254,0.0,4.125
89,flexaggrod,0,3.254,0.0,-1.375
89,flexaggrod,0,4.06,0.0,-1.375
90,flexaggrod,0,4.03,0.0,-1.375
90,flexaggrod,1,2.7390000000000003,0.0,1.375
90,flexaggrod,0,2.7990000000000004,0.0,0.0
90,flexaggrod,0,3.254,0.0,0.0
91,flexaggrod,0,1.829,0.0,0.0
91,flexaggrod,0,3.769,0.0,0.0
91,flexaggrod,0,3.769,0.0,0.0
91,flexaggrod,0,4.06,0.0,0.0
92,flexaggrod,0,2.7390000000000003,0.0,0.0
92,flexaggrod,1,3.254,0.0,1.375
92,flexaggrod,0,2.769,0.0,0.0
92,flexaggrod,0,3.769,0.0,-1.375
93,flexaggrod,0,4.06,0.0,0.0
93,flexaggrod,0,2.284,0.0,-2.8125
93,flexaggrod,0,2.7390000000000003,0.0,0.0
93,flexaggrod,1,3.254,0.0,2.8125
94,flexaggrod,0,3.254,0.0,-1.375
94,flexaggrod,1,3.769,0.0,4.125
94,flexaggrod,0,2.7390000000000003,0.0,-1.375
94,flexaggrod,0,2.2239999999999998,0.0,-1.375
95,flexaggrod,0,3.254,0.0,0.0
95,flexaggrod,0,3.254,0.0,0.0
95,flexaggrod,0,2.284,0.0,-1.3125
95,flexaggrod,1,2.254,0.0,1.3125
96,flexaggrod,0,2.7990000000000004,0.0,0.0
